MANCODIGO,SITP_Count
008404018,57
008404020,60
008404021,57
008404023,57
008412052,48
008412050,58
008401008,36
008417065,51
008530008,39
008411013,58
008411014,60
008411017,57
008411018,59
008508018,42
008412006,32
008403010,29
008403007,25
008403008,26
008412055,27
008412056,26
008412060,34
008412062,43
008411022,59
008411026,59
008416024,63
008530013,39
008418045,45
008524027,41
008401054,29
008513035,53
008414003,69
008502062,42
008408007,40
008401055,38
008417047,51
008501029,47
008414001,67
008501011,40
008501016,45
008502029,44
008415021,52
008415017,44
008413021,52
008417020,44
008501031,46
008530014,43
008525018,33
008525019,30
008525022,29
008506057,56
008515030,41
008505016,67
008505001,59
008527020,31
008527021,32
008527022,31
008535005,68
008412029,47
008513063,50
008516003,46
008516005,44
008526011,36
008418028,49
008418040,49
008533091,57
008414012,65
008415022,50
008415026,47
008415029,57
008505082,75
008508049,52
008508047,56
008508048,53
008508050,52
008506055,54
008512030,50
008512005,54
008502048,41
008502053,47
008502054,52
008538009,24
008502058,47
008505027,64
008505030,72
008505037,73
008407045,32
008513059,50
008513062,49
008417084,55
008417073,49
008502030,46
008506023,65
008516020,46
008501025,44
008501027,48
008502016,46
008505039,72
008510004,45
008412013,42
008521035,78
008510020,42
008501003,44
008415008,47
008415013,53
008415040,66
008529042,46
008529049,21
008502023,42
008408012,27
008412031,50
008516023,41
008505015,70
008527014,24
008527017,29
008527019,31
008530087,40
008415055,53
008416012,47
008407015,46
008401007,33
008411003,60
008411009,62
008414030,43
008417003,33
008412033,48
008505065,53
008512010,50
008401017,38
008505066,67
008502061,46
208203091,48
008530092,35
008527027,30
008507018,61
008514017,44
008514022,35
008514023,34
008514024,33
008538075,75
008505048,71
008517005,57
008508038,44
008507052,65
008514025,33
008538087,61
008507027,58
008519030,43
008516015,37
008504019,35
008518040,39
008408039,1
008519029,38
008506003,57
008501019,48
008417036,50
008506056,53
008418029,48
008412046,52
008515005,39
008537098,42
008521019,82
008506010,65
008513029,45
008502017,43
008502027,44
008502028,45
008417064,52
008519076,41
008516036,37
008519061,40
008506036,62
008543041,34
008530041,39
008530044,38
008507047,57
008520035,47
008517018,51
008407036,33
008520056,22
008530006,51
008401018,34
208203058,43
008516006,48
008408008,31
008525015,29
008527012,26
008515018,44
008516008,44
008535051,62
008501055,43
008533051,30
008519087,44
008526015,29
008407005,50
008516034,38
008536004,37
008533003,70
008527032,31
